video_id,title,channel,channel_id,published_at,duration_sec,view_count,like_count,comment_count,keyword,layer,subscribers,days_since,vpd,engagement_rate,views_per_sub,description,url,form,year,published_date,content_type,in_howto_playlist,howto_text_match,howto_playlist_titles,relation,episode_no,episode_topic
qNQ4PEKjGGE,왜 투자를 시작해야 할까?ㅣ금융투자 HOWTO 1편,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-05-19T00:30:34Z,824,47835,63,56,금융투자 HOW TO,재생목록+표기매칭,43700,48.2,992.4,0.249,1.0946,"📈 예금만 하면 왜 손해일까?
초보 투자자가 가장 먼저 알아야 할 돈의 진실

30년 전 짜장면 한 그릇 2천 원, 지금은 7천 원. 같은 돈으로 살 수 있는 것이 줄어드는 인플레이션 시대, 예금만으로 충분할까요? 명목금리와 실질금리의 차이, 복리의 힘, 그리고 분산 투자가 만드는 30년의 결과까지. 「금융투자 HOWTO」 1편에서 지금 투자를 시작해야 하는 이유를 차근차근 짚어드립니다.
 
⏱️ 타임스탬프
00:00 내 통장 속 현금, 안전할까?
00:47 역사 속 사례로 보는 돈의 가치
02:09 시간이 만드는 돈의 가치 변화
03:50 예금만으로 충분할까?
05:35 내 예금의 진짜 가치
07:38 주식 투자 위험하지 않을까?
08:53 주식 투자 시작해야 하는 이유
11:01 연 7% 수익 가능할까?
12:35 투자 전, 필수 질문 3가지
 
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#금융투자HOWTO #예금과투자 #주식투자 #인플레이션 #복리효과 #장기투자 #투자공부 #투자교육 #투교협 #주린이",https://www.youtube.com/watch?v=qNQ4PEKjGGE,롱폼,2026,2026-05-19,longform,1,1,금융투자 HOWTO,재생목록+표기매칭,1.0,왜 투자를 시작해야 할까?
gau2OM3yWFY,주식 투자는 왜 은행이 아니라 증권사에서 할까?ㅣ금융투자 HOWTO 2편,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-05-27T01:00:04Z,733,21876,37,33,금융투자 HOW TO,재생목록+표기매칭,43700,40.2,544.2,0.32,0.5006,"🏦 은행 앱으로는 주식을 살 수 없는 이유, 증권사가 하는 진짜 역할

매일 쓰는 은행 앱, 주식은 왜 살 수 없을까요? 주식 시장은 누구나 직접 들어가서 거래할 수 있는 곳이 아닙니다. 사는 사람과 파는 사람의 주문을 연결해 주는 창구가 필요하죠. 그 역할을 하는 곳이 바로 증권사입니다.

오늘은 증권사가 어떤 일을 하는지, 내 돈과 주식은 어떻게 보호되는지, 나에게 맞는 증권사는 어떻게 고르면 되는지 알아봅니다.
 
⏱️ 타임스탬프
00:00 주식 투자 은행 앱으로 할 수 있을까?
01:28 증권사는 무슨 일을 할까?
02:25 은행을 통한 펀드 가입
02:58 주식 거래, 계좌 개설이 필요하다!
03:29 거래 가능한 종목은?
04:27 거래소 운영 시간은?
05:41 증권사 계좌의 내 돈, 안전할까?
07:52 투자 정보를 얻는 올바른 방법
09:41 나에게 맞는 증권사 고르는 기준
11:23 클로징
 
📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#금융투자HOWTO #주식투자 #주식계좌 #주식거래 #한국예탁결제원 #예탁금 #투자정보 #투자교육 #투자자문사 #증권사고르는법 #투교협 #증권사 #증권거래소",https://www.youtube.com/watch?v=gau2OM3yWFY,롱폼,2026,2026-05-27,longform,1,1,금융투자 HOWTO,재생목록+표기매칭,2.0,주식 투자는 왜 은행이 아니라 증권사에서 할까?
KUnENpQPke0,"처음 계좌, 10분이면 충분합니다ㅣ금융투자 HOWTO 3편",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-02T00:56:47Z,920,127697,47,17,금융투자 HOW TO,재생목록+표기매칭,43700,34.2,3733.8,0.05,2.9221,"📱 막막했던 증권 계좌 개설, 영상 따라 하면 10분이면 충분합니다.

증권사 앱은 깔았는데, '계좌 개설하기'를 누르는 순간 위탁계좌, CMA, ISA, IRP… 처음 보는 단어와 수많은 약관 앞에서 막막하셨나요?

오늘은 증권사 앱(MTS)의 계좌 개설 화면을 함께 보며, 각 단계에서 무엇을 어떻게 해야 하는지 차근차근 알려드립니다. 영업점에 가지 않아도, 영상을 그대로 따라 하다 보면 어느새 내 첫 증권 계좌, 손쉽게 만들 수 있습니다.

⏱️ 타임스탬프
00:00 비대면 계좌 개설의 장점
01:07 계좌 개설 사전 준비
02:36 증권사 앱 설치 방법
03:31 앱 실행 & 고객 정보 확인
04:11 필요한 투자 계좌 개설하기
07:42 휴대폰 본인 인증
08:35 거래 약관 검토와 동의
11:03 신분증 촬영으로 실명 확인
11:52 본인 명의 계좌 1원 인증
12:48 투자자 성향 테스트
13:51 계좌 거래 비밀번호 설정
14:33 비대면 계좌 개설 완료

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#금융투자HOWTO #증권계좌개설 #비대면계좌개설 #계좌개설방법 #주식초보 #위탁계좌 #CMA #ISA #IRP #투자자성향테스트 #MTS #투자교육 #투교협 #주린이",https://www.youtube.com/watch?v=KUnENpQPke0,롱폼,2026,2026-06-02,longform,1,1,금융투자 HOWTO,재생목록+표기매칭,3.0,"처음 계좌, 10분이면 충분합니다"
kQj1e1jBCh8,"MTS 화면, 이제 숫자가 아니라 흐름으로 보세요ㅣ금융투자 HOWTO 4편",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-09T00:58:45Z,837,27396,23,11,금융투자 HOW TO,재생목록+표기매칭,43700,27.2,1007.2,0.124,0.6269,"📊 복잡해 보이던 MTS 화면, 의미를 알면 시장의 흐름이 보입니다.

계좌를 만들고 처음 MTS를 열면, 빼곡한 숫자와 그래프 앞에서 무엇을 눌러야 할지 알기 어렵습니다. 오늘은 투자를 위해 계좌에 넣어둔 돈인 예수금부터 종목 검색, 차트와 호가창 읽는 방법까지 실제 화면과 함께 안내해 드립니다.

⏱️ 타임스탬프
00:00 처음 보는 MTS 화면
01:04 HTS 화면 이해하기
02:05 MTS 화면 이해하기
02:52 증권계좌에 돈 넣고 시작
03:53 잔고메뉴 살펴보기
04:30 예수금 현황 읽는 방법
06:32 종목 검색ㅣ원하는 기업 찾기
08:11 종목 화면ㅣ차트 읽기
11:06 종목 화면ㅣ호가창 보는법
11:57 현재가와 전일대비 등락률
12:39 종목 탭 활용 방법

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#금융투자HOWTO #MTS #HTS #주식투자 #종목검색 #예수금 #종목화면 #주식초보 #차트보는법 #호가창 #주린이 #주식공부 #투자교육 #투자자교육협의회 #투교협",https://www.youtube.com/watch?v=kQj1e1jBCh8,롱폼,2026,2026-06-09,longform,1,1,금융투자 HOWTO,재생목록+표기매칭,4.0,"MTS 화면, 이제 숫자가 아니라 흐름으로 보세요"
7nBCGozbsPA,"매수 버튼, 언제, 어떻게 눌러야 할까? l 금융투자 HOWTO 5편",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-17T01:28:13Z,1179,35976,22,19,금융투자 HOW TO,재생목록+표기매칭,43700,19.2,1873.8,0.114,0.8232,"🛒 매수 버튼 하나에도, 알아두면 좋은 순서가 있습니다.

종목을 골랐다면, 이제 주문을 넣을 차례입니다. 오늘은 매수 화면에 들어가는 방법부터 지정가와 시장가의 차이, 주문이 체결되는 원리, 체결 뒤 계좌에서 바뀌는 것들까지 화면을 함께 보며 안내해 드립니다. 사는 것만큼 중요한 매도와 손익, 손절을 어떻게 바라볼지도 함께 다룹니다.

⏱️ 타임스탬프
00:00 이제 매수해 볼까요
01:15 매수 화면 진입 방법
02:29 매수 화면 읽는 방법
06:21 매수 주문 시작하기
08:21 지정가와 시장가 주문
09:36 매수 주문 체결 원리
12:22 주문 내역 확인하기
13:25 가격, 수량 변경 방법
13:48 체결 후 계좌 변화
14:32 주식 주문 수수료와 세금
15:48 주식 매도(손절)와 손익
18:27 주식 매도&매수 완료

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#투자자교육협의회 #투교협 #금융투자HOWTO #주식투자 #주식매수 #주식매도 #손절 #주식초보 #주린이 #초보투자자 #주식어플 #주식MTS #주식상한가 #주식하한가 #주식 #투자교육",https://www.youtube.com/watch?v=7nBCGozbsPA,롱폼,2026,2026-06-17,longform,1,1,금융투자 HOWTO,재생목록+표기매칭,5.0,"매수 버튼, 언제, 어떻게 눌러야 할까?"
_JXFNyVETWM,"투자 계좌 속 내 자산, 팔지 않고 옮기는 방법은?ㅣ금융투자 HOWTO 6편",금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-23T08:53:16Z,1007,46443,28,18,금융투자 HOW TO,재생목록+표기매칭,43700,12.9,3600.2,0.099,1.0628,"💸 증권사를 바꿔도, 주식 팔지 않아도 됩니다!

오늘은 투자로 모은 자산을 옮기는 방법을 알아봅니다. 다른 증권사로 주식을 이체하는 대체출고부터 ISA·연금저축·IRP 절세계좌 이전, 배우자·가족 증여까지, 계좌 속 자산을 옮길 때 알아두면 좋은 절차와 세금을 정리했습니다.

⏱️ 타임라인
00:00 현명한 투자 계좌 사용법
01:57 증권사 간 주식이체
03:03 펀드판매사 이동 제도
03:31 절세를 위한 계좌 이전
04:39 ISA 계좌이전과 절세
06:04 IRP ⇔ 연금저축 간 이전
08:20 연금저축 ⇒ IRP 이전방법
08:52 IRP ⇒ 연금저축 이전방법
10:13 연금저축 간 이전방법
12:42 보험사 연금저축보험 이전
13:13 부부ᆞ가족 간 증여 이전
13:57 해외주식 배우자 증여
16:05 투자, 관리방법이 중요하다

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#투자자교육협의회 #투교협 #금융투자HOWTO #주식계좌이전 #해외주식 #절세계좌 #ISA #세액공제 #연금저축 #IRP #계약이전제도 #연금저축보험 #부부증여 #주식증여 #주식투자",https://www.youtube.com/watch?v=_JXFNyVETWM,롱폼,2026,2026-06-23,longform,1,1,금융투자 HOWTO,재생목록+표기매칭,6.0,"투자 계좌 속 내 자산, 팔지 않고 옮기는 방법은?"
aYb3RhIsK9c,주식·ETF·펀드 투자 전에 이것부터ㅣ금융투자 HOWTO 7편,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,2026-06-30T01:32:17Z,1214,11975,75,63,금융투자 HOW TO,재생목록+표기매칭,43700,6.2,1931.5,1.152,0.274,"💡 주식·ETF·펀드, 사기 전에 무엇을 봐야 할까요?

같은 상품인데 누구는 더 싸게, 더 안전하게 산다는 사실, 알고 계셨나요? 기업 가치를 보는 PER·PBR부터 현금화 방법, 분산투자, 비용과 세금까지. 투자하기 전 꼭 알아야 할 기준을 알려드립니다.

⏱️ 타임라인
00:00 투자 전 필수 확인사항
01:50 주식투자 기본 원리
02:23 PER·PBR로 보는 기업가치
05:15 투자설명서와 공시 확인법
05:58 펀드·ETF 구조와 선택기준
09:03 투자 상품 성격 이해하기
10:11 주식·ETF 매도와 결제일
11:30 펀드를 현금화하는 방법
12:23 위험, 어떻게 분산될까?
13:04 주식, ETF로 분산 투자
14:43 펀드로 분산 투자
16:16 투자에 드는 비용
17:24 투자 상품에 따른 세금
19:30 스스로 하는 투자 결정

📌 더 알아보기
● 홈페이지 👉 https://www.kcie.or.kr/
● 페이스북 👉 https://www.facebook.com/kcie.edu/
● 인스타그램 👉 https://www.instagram.com/kcie2018/
● 네이버 블로그 👉 https://blog.naver.com/kcie2017
● 다음채널 👉 https://v.daum.net/channel/3126/home

#투자자교육협의회 #투교협 #금융투자HOWTO #주식투자 #주식 #PER #PBR #ETF #펀드 #투자설명서 #분산투자 #투자위험관리 #금융투자상품 #투자세금 #투자교육 #재테크 #해외ETF",https://www.youtube.com/watch?v=aYb3RhIsK9c,롱폼,2026,2026-06-30,longform,1,1,금융투자 HOWTO,재생목록+표기매칭,7.0,주식·ETF·펀드 투자 전에 이것부터
