institution,channel_name_expected,channel_id,institution_type,credibility_note,official_status,channel,description,published_at,subscribers,channel_view_count,api_video_count,uploads_playlist,collected_video_count,investment_content_count,risk_safety_content_count,shorts_count,median_views,median_vpd
한국거래소,KRX 한국거래소,UCS9GDeqpgGtDYy_Nx8opCZw,시장 인프라,증권·파생상품 시장 운영기관,공식 채널,KRX 한국거래소,"한국거래소는 증권 및 장내파생 상품의 공정한 가격 형성과 그 매매, 그 밖의 거래의 안정성 및 효율성을 도모하며 대한민국 자본시장을 이끌어 가고 있습니다.",2020-11-23T07:14:10.250211Z,7230,6783987,804,UUS9GDeqpgGtDYy_Nx8opCZw,804,646,49,572,219.0,0.3
한국거래소,베짱이하우스 by KRX,UC9x7FeCs47yZ7Hio5RHq9eQ,시장 인프라,KRX 투자교육/콘텐츠 채널,기관 운영 채널,베짱이하우스(Channel B) by KRX,"베짱이가 될 수 있는 노하우가 있는 곳🎶
놀면서 현명하게 투자하자, 바로 베짱이하우스 by KRX 🏡에서!

KRX ORIGINAL SERIES
© KOREA EXCHANGE ALL RIGHTS RESERVED.
",2023-08-03T00:42:34.391534Z,24600,6277017,173,UU9x7FeCs47yZ7Hio5RHq9eQ,173,134,12,104,10583.0,21.9
한국금융투자협회,한국금융투자협회,UC0FnjiBx8AD-4V5j_9j94wA,금융투자 협회,금융투자회사 협회 공식 채널,공식 채널,한국금융투자협회,"한국금융투자협회의 공식 유튜브 채널에 오신 것을 환영합니다. 금융투자협회는 금융투자산업과 자본시장의 선진화, 금융투자회사 상호 간의 업무질서 유지, 그리고 투자자 보호를 위해 모든 임직원이 한 마음으로 노력하고 있습니다.  
",2021-01-07T04:22:44.11395Z,1820,89452,91,UU0FnjiBx8AD-4V5j_9j94wA,92,84,13,25,329.5,0.2
전국투자자교육협의회,금융투자아카데미,UCBryaPNZJE5bcaKxJO-PasA,투자자 교육,투자자교육협의회 교육 채널,기관 운영 채널,금융투자아카데미,"투자자교육협의회(이하 투교협)는 합리적 투자문화 조성 및 투자자 보호를 목적으로 금융위원회와 금융감독원을 비롯하여 금융투자협회 등 7개 기관이 공동으로 설립한 투자자 교육기관이며, 금융투자협회에서 사무국을 담당하여 교육 운영하고 있습니다.

금융투자분야에 대한 체계적이고 효율적인 교육 프로그램 제공과 투자자보호를 통해 일반인의 투자판단능력 향상과 평생자산설계에 도움을 주고자 설립된 비영리 단체*입니다.

* 교육부 교육기부 우수기관, 교육기부 진로체험 인증기관, 서울학생배움터 선정

- 투교협 유튜브를 통하여 제공하는 콘텐츠는 이용자의 자산관리 및 금융지식 함양을 목적으로 작성된 교육 콘텐츠입니다.

- 투교협은 본 유튜브에 게재되는 콘텐츠의 정확성 유지를 위해 항상 최선을 다하고 있으나 불가피한 정보의 시차, 오류 및 누락의 가능성이 있습니다.

- 투교협 유튜브의 콘텐츠를 이용하여 투자를 했을 시 발생하는 손실의 귀책사유는 본 유튜브 이용자에게 귀속되며, 투교협은 이에 대한 일체의 책임을 지지 않습니다.

- 투교협이 제공하는 콘텐츠에 관한 저작권 및 기타 지적재산권은 투교협에 속합니다. 이용자는 투교협이 제공하는 서비스를 무단으로 전재하거나 투교협의 사전 동의없이 인용(발췌), 복제, 전송, 편집, 번역, 출판, 배포, 방송, 기타 방법에 의하여 이용하거나 제3자에게 무단으로 배포할 수 없습니다.

- 투교협은 이용자간 또는 이용자와 제3자 간에 서비스를 매개하여 발생한 분쟁에 관여할 법적 의무가 없으며, 이와 관련하여 어떠한 책임도 지지 않습니다.

- 비방, 욕설, 광고성 댓글은 삭제될 수 있습니다.


● 투교협 홈페이지 : https://www.kcie.or.kr/
● 투교협 페이스북 : https://www.facebook.com/kcie.edu/ 
● 투교협 다음채널 : https://v.daum.net/channel/3126/home

",2013-03-21T06:23:55Z,43800,8965134,816,UUBryaPNZJE5bcaKxJO-PasA,817,781,76,53,621.0,0.3
금융감독원,금융감독원(Financial Supervisory Service),UCjA-tHJ2xLwZRXzqXq0UaqA,감독·소비자보호,금융감독원 공식 채널,공식 채널,금융감독원(Financial Supervisory Service),"생생한 업무현장과 금융소비자 꿀팁을 전달해드리는 금융감독원 유튜브 공식 채널!
★구독&좋아요&알림설정★ 해주세요!",2011-04-15T05:36:45Z,35300,13802401,1236,UUjA-tHJ2xLwZRXzqXq0UaqA,1236,280,566,425,862.0,0.7
금융위원회,금융위원회,UCuJz-PXNMdWQr6TNM4htENw,정책기관,금융정책 담당 정부기관 공식 채널,공식 채널,금융위원회,"내 삶에 필요한 #금융정책 #금융정보, 금융위 유튜브에서 먼저 체크하세요📌
🕵️‍♀️ 금융위원회 공식 채널은 네이버블로그, 페이스북, 인스타그램, 엑스(구 트위터)와 홈페이지 뿐입니다.
❗❗❗ 사칭 계정 주의하세요

📌 원색적인 표현이나 욕설, 개인 비방 댓글은 사전 고지 없이 삭제합니다.
",2010-01-12T07:07:04Z,34300,47816049,2251,UUuJz-PXNMdWQr6TNM4htENw,2251,897,748,1492,619.0,0.6
한국예탁결제원,한국예탁결제원,UCCkOHu8cifMUsfrlv2tBB_A,시장 인프라,자본시장 예탁·결제 인프라 기관 채널,공식 채널,한국예탁결제원,"한국예탁결제원은 1경원이 넘는 국민 자산을 관리하는 대한민국 자본시장의 중추(Backbone)입니다. 
변화와 혁신으로 투자자의 가치증진과 금융시장 발전에 기여하며, 투자자와 글로벌 금융시장을 연결하고 있습니다. 
자본시장 인프라의 중심에서 금융의 내일을 열어가는 한국예탁결제원의 공식 영상들을 소개합니다.

The Official YouTube Channel of KSD(Korea Securities Depository)

Korea Securities Depository(KSD) stands as the backbone of Korea's capital markets, managing over 10 quadrillion won.
Through change and innovation, we contribute to enhancing investor value and developing the financial market, while connecting investors with the global financial market.
We present the official videos of KSD, opening the future of finance at the heart of the capital market infrastructure.
",2017-02-24T05:02:53Z,10300,17095158,339,UUCkOHu8cifMUsfrlv2tBB_A,339,169,71,152,561.0,0.6
예금보험공사,예금보험공사 예보TV,UCq_FlkcUOP6iPyZ44SBkkzQ,금융소비자 보호,예금자보호 제도 담당 공공기관 공식 채널,공식 채널,예금보험공사 예보TV,"예금보험공사 공식 유튜브 채널

""시장원리에 충실한 금융계약자 보호기구, 국민의 KDIC입니다.""",2015-06-16T00:50:47Z,7730,12575520,616,UUq_FlkcUOP6iPyZ44SBkkzQ,616,144,209,304,876.5,1.25
서민금융진흥원,서민금융진흥원,UC1Ke0iC2-bJ6kbDZ86ye4GA,정책서민금융,정책서민금융 지원기관 공식 채널,공식 채널,서민금융진흥원,"서민금융진흥원 공식 채널입니다.

햇살론15, 햇살론뱅크, 햇살론유스 등 정책서민금융
저신용·저소득자 금융지원, 청년도약계좌 정보까지 한눈에! 
",2017-01-20T00:50:28Z,20800,18312767,767,UU1Ke0iC2-bJ6kbDZ86ye4GA,763,168,132,459,865.0,1.2
신용회복위원회,신용회복위원회 CCRS,UCkgdp_3RuH6Lcn2pqwPINIQ,신용회복·상담,신용회복위원회 공식 채널,공식 채널,신용회복위원회 CCRS,"희망을 향한 새로운 시작
신용회복위원회가 함께합니다.

신용회복위원회 공식채널입니다.
www.ccrs.or.kr",2016-04-07T14:03:23Z,32900,8391976,641,UUkgdp_3RuH6Lcn2pqwPINIQ,642,99,104,262,2199.0,3.6
여신금융협회,여신금융협회 서포크레딧,UCZd7eGYZDaYoDtmHt6tvk4w,여신·신용교육,여신금융협회 주관 신용교육 성격의 채널,협회 주관 채널,여신금융협회 서포크레딧,"여신금융협회 주관으로 활동하는 서포크레딧은
지원(Support)과 신용(Credit)의 합성어로서
대학생의 신용에 대한 관심을 불러일으키고,
건전한 신용관리 의식 함양을 지원한다는 의미입니다.

서포크레딧 대학생 신용홍보단원은 대학생 신용관리 방법,
신용꿀팁 및 20대를 위한 올바른 신용카드 사용 방법 등을 또래 친구들에게
다양한 콘텐츠 및 블로그 등을 통해 전달하는 미션을 수행하게 됩니다.",2020-11-30T08:41:38.224486Z,66,14895,93,UUZd7eGYZDaYoDtmHt6tvk4w,93,7,21,32,85.0,0.1
